schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
9/24/1989,1989,MIA,NYJ,33,376.47058823529403,2.411764705882353,40,337.11764705882354,1.8235294117647056,73,47.0,over
9/24/1989,1989,NWE,SEA,3,276.88235294117646,2.235294117647059,24,304.4705882352941,2.0588235294117645,27,41.0,under
9/24/1989,1989,NYG,CRD,35,325.2352941176472,1.8235294117647056,7,359.5294117647058,2.411764705882353,42,42.0,under
9/24/1989,1989,PHI,SFO,28,347.7058823529412,1.8823529411764703,38,365.9411764705882,1.5882352941176472,66,46.5,over
9/24/1989,1989,PIT,MIN,27,300.70588235294116,2.764705882352941,14,329.70588235294116,1.8235294117647056,41,43.0,under
9/24/1989,1989,SDG,KAN,21,290.35294117647067,2.0588235294117645,6,311.2352941176472,2.0588235294117645,27,42.5,under
9/24/1989,1989,TAM,NOR,20,313.70588235294116,3.0,10,317.0,1.7647058823529411,30,42.0,under
9/25/1989,1989,CIN,CLE,21,357.1764705882353,1.6470588235294117,14,309.2352941176472,1.7647058823529411,35,45.5,under
10/1/1989,1989,BUF,NWE,31,351.1764705882353,2.0,10,277.7647058823529,2.117647058823529,41,41.0,under
10/1/1989,1989,CLE,DEN,16,307.70588235294116,1.7647058823529411,13,331.4117647058824,2.235294117647059,29,45.5,under
10/1/1989,1989,DAL,NYG,13,314.8235294117647,2.647058823529412,30,329.0,2.0,43,42.5,over
10/1/1989,1989,DET,PIT,3,229.7647058823529,2.4705882352941178,23,300.4705882352941,2.411764705882353,26,44.0,under
10/1/1989,1989,GNB,ATL,23,328.11764705882354,3.117647058823529,21,278.6470588235294,1.8235294117647056,44,44.0,under
10/1/1989,1989,OTI,MIA,39,336.9411764705883,1.8235294117647056,7,365.05882352941177,2.411764705882353,46,51.5,under
10/1/1989,1989,KAN,CIN,17,306.0588235294117,2.411764705882353,21,349.8235294117647,1.7058823529411764,38,43.5,under
10/1/1989,1989,RAI,SEA,20,322.0588235294117,2.2941176470588243,24,316.2352941176472,1.8823529411764703,44,44.0,under
10/1/1989,1989,MIN,TAM,17,330.4117647058824,1.7647058823529411,3,305.4705882352941,2.8823529411764706,20,44.0,under
10/1/1989,1989,NOR,WAS,14,315.8235294117647,1.8823529411764703,16,360.1764705882353,2.9411764705882355,30,44.5,under
10/1/1989,1989,NYJ,CLT,10,328.29411764705884,1.8823529411764703,17,317.29411764705884,1.5882352941176472,27,44.0,under
10/1/1989,1989,CRD,SDG,13,349.2941176470588,2.647058823529412,24,292.1764705882353,2.0,37,42.5,under
10/1/1989,1989,SFO,RAM,12,363.0,1.4117647058823528,13,376.5882352941177,2.117647058823529,25,46.5,under
10/2/1989,1989,CHI,PHI,27,337.8235294117647,2.117647058823529,13,361.2352941176471,2.117647058823529,40,45.0,under
10/8/1989,1989,DEN,SDG,16,327.70588235294116,2.0,10,286.76470588235287,2.0588235294117645,26,42.5,under
10/8/1989,1989,GNB,DAL,31,343.94117647058823,3.0,13,308.35294117647067,2.7058823529411766,44,43.5,over
10/8/1989,1989,CLT,BUF,37,318.8235294117647,1.5882352941176472,14,349.2941176470588,2.176470588235294,51,40.0,over
